Country,Year,Population,Population_predicted
Palestine,2010,4120,3798
Palestine,2015,4656,4137
Palestine,2020,5181,4476
Panama,1995,2639,2678
Panama,2000,2900,2908
Panama,2005,3156,3137
Panama,2010,3411,3366
Panama,2015,3658,3596
Panama,2020,3895,3825
Papua New Guinea,1995,4216,4469
Papua New Guinea,2000,4813,4928
Papua New Guinea,2005,5440,5387
Papua New Guinea,2010,6065,5846
Papua New Guinea,2015,6673,6305
Papua New Guinea,2020,7260,6765
Paraguay,1995,4826,4797
Paraguay,2000,5419,5255
Paraguay,2005,5926,5713
Paraguay,2010,6376,6171
Paraguay,2015,6784,6629
Paraguay,2020,7192,7087
Peru,1995,23864,23137
Peru,2000,25797,25050
Peru,2005,27443,26962
Peru,2010,28948,28875
Peru,2015,30445,30787
Peru,2020,31915,32699
Philippines,1995,68472,70907
Philippines,2000,76452,77670
Philippines,2005,84965,84433
Philippines,2010,93137,91196
Philippines,2015,100999,97959
Philippines,2020,109181,104722
Poland,1995,38601,37032
Poland,2000,38655,37823
Poland,2005,38557,38614
Poland,2010,38617,39405
Poland,2015,38563,40196
Poland,2020,38283,40987
Portugal,1995,10066,10115
Portugal,2000,10336,10279
Portugal,2005,10567,10444
Portugal,2010,10736,10609
Portugal,2015,10826,10773
Portugal,2020,10843,10938
Puerto Rico,1995,3684,3422
Puerto Rico,2000,3811,3538
Puerto Rico,2005,3822,3655
Puerto Rico,2010,3722,3772
Puerto Rico,2015,3599,3889
Puerto Rico,2020,3520,4005
Qatar,1995,510,895
Qatar,2000,640,1068
Qatar,2005,973,1241
Qatar,2010,1720,1414
Qatar,2015,2195,1586
Qatar,2020,2445,1759
Republic of the Congo,1995,2570,2917
